;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
26.08.2024;09:41:52;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,1;40;45;-146,6;0,0;0,00;-0,526;300;0
26.08.2024;09:42:02;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,7;40;45;-146,6;0,0;0,00;-0,541;300;0
26.08.2024;09:42:12;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;70,9;40;45;-146,6;0,0;0,00;-0,538;300;0
26.08.2024;09:42:22;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;72,5;40;45;-146,4;0,0;0,00;-0,535;300;0
26.08.2024;09:42:32;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,6;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:42:42;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;72,0;40;45;-146,6;0,0;0,00;-0,535;300;0
26.08.2024;09:42:52;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;72,2;40;45;-146,6;0,0;0,00;-0,538;300;0
26.08.2024;09:43:02;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,4;40;45;-146,6;0,0;0,00;-0,541;300;0
26.08.2024;09:43:32;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;72,0;40;45;-146,6;0,0;0,00;-0,532;300;0
26.08.2024;09:43:53;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,2;40;45;-146,6;0,0;0,00;-0,526;300;0
26.08.2024;09:44:03;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,7;40;45;-146,5;0,0;0,00;-0,523;300;0
26.08.2024;09:44:13;23,6;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,5;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:44:23;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,9;24,1;22,6;25,0;72,5;40;45;-146,6;0,0;0,00;-0,520;300;0
26.08.2024;09:44:33;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,9;24,1;22,6;25,0;71,4;40;45;-146,6;0,0;0,00;-0,520;300;0
26.08.2024;09:44:43;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,7;25,0;70,6;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:44:53;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,9;24,1;22,6;25,0;71,4;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:45:03;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,7;25,0;71,5;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:45:13;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,6;25,0;71,0;40;45;-146,6;0,0;0,00;-0,517;300;0
26.08.2024;09:45:23;23,7;23,6;23,6;23,3;23,7;23,4;23,6;23,8;24,1;22,7;25,0;71,5;40;45;-146,6;0,0;0,00;-0,520;300;0
;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
26.08.2024;09:47:46;23,7;23,6;23,6;23,3;23,7;23,4;23,7;23,9;24,1;22,6;25,1;71,3;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:47:57;23,7;23,6;23,6;23,3;23,7;23,4;23,7;23,9;24,1;22,6;25,1;71,1;40;45;-146,6;0,0;0,00;-0,526;300;0
26.08.2024;09:48:07;23,7;23,6;23,6;23,3;23,7;23,4;23,7;23,9;24,1;22,6;25,1;71,6;40;45;-146,5;0,0;0,00;-0,517;300;0
26.08.2024;09:48:17;23,7;23,6;23,6;23,3;23,7;23,5;23,7;23,9;24,1;22,7;25,0;70,7;40;45;-146,5;0,0;0,00;-0,523;300;0
26.08.2024;09:48:27;23,7;23,6;23,6;23,3;23,8;23,4;23,7;23,9;24,1;22,6;25,1;72,4;40;45;-146,5;0,0;0,00;-0,520;300;0
26.08.2024;09:48:37;23,7;23,6;23,6;23,3;23,8;23,5;23,7;23,9;24,1;22,6;25,0;72,4;40;45;-146,5;0,0;0,00;-0,520;300;0
26.08.2024;09:48:47;23,7;23,6;23,6;23,3;23,8;23,5;23,7;23,9;24,1;22,6;25,1;72,1;40;45;-146,5;0,0;0,00;-0,520;300;0
26.08.2024;09:48:57;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;71,0;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:49:07;23,7;23,6;23,6;23,3;23,8;23,5;23,7;23,9;24,1;22,6;25,1;70,7;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:49:17;23,7;23,6;23,6;23,3;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,0;40;45;-146,7;0,0;0,00;-0,523;300;0
26.08.2024;09:49:27;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;72,0;40;45;-146,7;0,0;0,00;-0,523;300;0
26.08.2024;09:49:37;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,2;40;45;-146,5;0,0;0,00;-0,526;300;0
26.08.2024;09:49:47;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;72,3;40;45;-146,6;0,0;0,00;-0,523;300;0
26.08.2024;09:49:57;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,5;40;45;-146,6;0,0;0,00;-0,520;300;0
26.08.2024;09:50:07;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;72,2;40;45;-146,6;0,0;0,00;-0,517;300;0
26.08.2024;09:50:18;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;72,3;40;45;-146,6;0,0;0,00;-0,517;300;0
26.08.2024;09:50:28;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;71,8;40;45;-146,6;0,0;0,00;-0,520;300;0
26.08.2024;09:50:38;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;70,9;40;45;-146,7;0,0;0,00;-0,520;300;0
26.08.2024;09:50:48;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,4;40;45;-146,6;0,0;0,00;-0,526;300;0
26.08.2024;09:50:58;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,6;25,1;71,4;40;45;-146,3;0,0;0,00;-0,523;300;0
26.08.2024;09:51:08;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;72,5;40;45;-100,0;0,0;0,00;-0,523;300;0
26.08.2024;09:51:18;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:51:28;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:51:38;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:51:48;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:51:58;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:52:08;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:52:19;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:52:29;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
26.08.2024;09:52:39;23,7;23,6;23,6;23,4;23,8;23,5;23,7;23,9;24,1;22,7;25,1;71,1;40;45;-100,0;0,0;0,00;-0,526;300;0
;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
26.08.2024;10:14:14;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;71,1;40;45;-146,6;0,0;5,02;-0,526;300;0
26.08.2024;10:14:24;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;72,6;40;45;-146,9;0,0;5,02;-0,520;300;0
26.08.2024;10:14:34;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;73,8;40;45;-147,1;0,0;5,01;-0,442;300;0
26.08.2024;10:14:45;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;74,2;40;45;-145,0;0,0;4,93;-0,448;300;0
26.08.2024;10:14:55;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;73,8;40;45;-147,3;0,0;5,00;-0,442;300;0
26.08.2024;10:15:05;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;23,0;25,2;74,4;40;45;-147,0;0,0;4,99;-0,442;300;0
26.08.2024;10:15:15;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;74,9;40;45;-147,5;0,0;4,99;-0,445;300;0
26.08.2024;10:15:25;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;23,0;25,2;74,6;40;45;-146,4;0,0;5,00;-0,445;300;0
26.08.2024;10:15:35;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;23,0;25,2;75,1;40;45;-146,2;0,0;4,99;-0,445;300;0
26.08.2024;10:15:45;24,1;23,8;23,8;23,6;24,0;23,6;23,9;24,0;24,2;23,0;25,2;74,8;40;45;-146,3;0,0;5,00;-0,445;300;0
26.08.2024;10:15:55;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;23,0;25,2;74,9;40;45;-146,4;0,0;4,95;-0,445;300;0
26.08.2024;10:16:05;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;23,0;25,2;74,5;40;45;-148,4;0,0;5,03;-0,442;300;0
26.08.2024;10:16:15;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;23,0;25,2;74,3;40;45;-145,6;0,0;5,03;-0,445;300;0
26.08.2024;10:16:25;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;22,8;25,2;74,2;40;45;-146,6;0,0;4,98;-0,448;300;0
26.08.2024;10:16:35;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;22,8;25,2;74,4;40;45;-144,8;0,0;5,02;-0,448;300;0
26.08.2024;10:16:45;24,1;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;22,7;25,2;74,9;40;45;-147,1;0,0;5,03;-0,448;300;0
26.08.2024;10:16:55;24,0;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,8;40;45;-139,5;0,0;5,01;-0,448;300;0
26.08.2024;10:17:06;24,0;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,4;40;45;-146,1;0,0;5,01;-0,442;300;0
26.08.2024;10:17:16;23,9;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;22,7;25,2;75,2;40;45;-139,7;0,0;4,99;-0,445;300;0
26.08.2024;10:17:26;23,9;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,2;22,7;25,2;74,8;40;45;-148,6;0,0;5,00;-0,442;300;0
26.08.2024;10:17:36;23,8;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,2;40;45;-122,2;0,0;4,99;-0,445;300;0
26.08.2024;10:17:46;23,7;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,2;40;45;-146,6;0,0;4,98;-0,448;300;0
26.08.2024;10:17:56;23,7;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,7;40;45;-145,5;0,0;5,02;-0,448;300;0
26.08.2024;10:18:06;23,6;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,2;22,7;25,2;74,3;40;45;-128,1;0,0;5,01;-0,445;300;0
26.08.2024;10:18:16;23,5;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,0;40;45;-143,5;0,0;5,01;-0,442;300;0
26.08.2024;10:18:26;23,4;23,9;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;75,1;40;45;-145,0;0,0;5,03;-0,442;300;0
26.08.2024;10:18:36;23,4;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,6;40;45;-145,6;0,0;4,99;-0,445;300;0
26.08.2024;10:18:46;23,3;23,8;23,8;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,8;40;45;-144,6;0,0;4,97;-0,445;300;0
26.08.2024;10:18:56;23,2;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,4;40;45;-146,6;0,0;5,00;-0,442;300;0
26.08.2024;10:19:06;23,2;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,4;40;45;-145,0;0,0;4,99;-0,445;300;0
26.08.2024;10:19:16;23,1;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,6;40;45;-146,2;0,0;5,02;-0,439;300;0
26.08.2024;10:19:27;23,0;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,0;40;45;-144,5;0,0;5,01;-0,465;300;0
26.08.2024;10:19:37;23,0;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;74,8;40;45;-145,9;0,0;5,02;-0,468;300;0
26.08.2024;10:19:47;22,9;23,8;23,9;23,6;24,0;23,7;23,9;24,0;24,3;22,7;25,2;73,7;40;45;-323,9;0,0;5,02;-0,471;300;0
26.08.2024;10:19:57;22,8;23,8;23,9;23,6;24,0;23,7;23,9;24,1;24,3;22,7;25,2;74,3;40;45;-146,3;0,0;4,97;-0,474;300;0
26.08.2024;10:20:07;22,8;23,8;23,9;23,6;24,0;23,7;23,9;24,1;24,3;22,7;25,2;74,8;40;45;-144,5;0,0;4,99;-0,439;300;0
